Ticker,Sector
AIAENG,Industrials
AFFLE,Communication Services
APARINDS,Industrials
ASIANPAINT,Basic Materials
BLS,Industrials
BSE,Financial Services
BEL,Industrials
BIKAJI,Consumer Defensive
BLUESTARCO,Industrials
BRITANNIA,Consumer Defensive
CAPLIPOINT,Healthcare
CEMPRO,Industrials
DOMS,Industrials
DIXON,Technology
ELGIEQUIP,Industrials
ENDURANCE,Consumer Cyclical
GABRIEL,Consumer Cyclical
MEDANTA,Healthcare
GRANULES,Healthcare
GRAVITA,Industrials
HSCL,Basic Materials
HINDZINC,Basic Materials
INDHOTEL,Consumer Cyclical
JSL,Basic Materials
KPIL,Industrials
LODHA,Real Estate
LUPIN,Healthcare
MRF,Consumer Cyclical
MANKIND,Healthcare
MARICO,Consumer Defensive
MAXHEALTH,Healthcare
MSUMI,Consumer Cyclical
MPHASIS,Technology
MCX,Financial Services
NMDC,Basic Materials
NATIONALUM,Basic Materials
NAVINFLUOR,Basic Materials
NETWEB,Technology
OBEROIRLTY,Real Estate
ONGC,Energy
OFSS,Technology
PAGEIND,Consumer Cyclical
PATANJALI,Consumer Defensive
RRKABEL,Industrials
SARDAEN,Basic Materials
SOLARINDS,Basic Materials
TBOTEK,Consumer Cyclical
TCS,Technology
TRENT,Consumer Cyclical
UNOMINDA,Consumer Cyclical
VIJAYA,Healthcare
ZFCVINDIA,Consumer Cyclical
ZYDUSLIFE,Healthcare
ECLERX,Technology
